name,population,flagImage
 Alabama,"5,024,279",https://www.states101.com/img/flags/gif/small/alabama.gif
 Alaska,"733,391",https://www.states101.com/img/flags/gif/small/alaska.gif
 American Samoa[12],"49,710",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/1200px-Flag_of_American_Samoa.svg.png
 Arizona,"7,151,502",https://www.states101.com/img/flags/gif/small/ Arizona.gif
 Arkansas,"3,011,524",https://www.states101.com/img/flags/gif/small/ Arkansas.gif
 California,"39,538,223",https://www.states101.com/img/flags/gif/small/ California.gif
 Colorado,"5,773,714",https://www.states101.com/img/flags/gif/small/ Colorado.gif
 Connecticut,"3,605,944",https://www.states101.com/img/flags/gif/small/ Connecticut.gif
 Delaware,"989,948",https://www.states101.com/img/flags/gif/small/ Delaware.gif
 District of Columbia,"689,545",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_the_District_of_Columbia.svg/1200px-Flag_of_the_District_of_Columbia.svg.png
 Florida,"21,538,187",https://www.states101.com/img/flags/gif/small/ Florida.gif
 Georgia,"10,711,908",https://www.states101.com/img/flags/gif/small/ Georgia.gif
 Guam[10],"153,836",https://cdn.britannica.com/61/69561-050-4B2E5EFC/Flag-Guam.jpg
 Hawaii,"1,455,271",https://www.states101.com/img/flags/gif/small/ Hawaii.gif
 Idaho,"1,839,106",https://www.states101.com/img/flags/gif/small/ Idaho.gif
 Illinois,"12,812,508",https://www.states101.com/img/flags/gif/small/ Illinois.gif
 Indiana,"6,785,528",https://www.states101.com/img/flags/gif/small/ Indiana.gif
 Iowa,"3,190,369",https://www.states101.com/img/flags/gif/small/ Iowa.gif
 Kansas,"2,937,880",https://www.states101.com/img/flags/gif/small/ Kansas.gif
 Kentucky,"4,505,836",https://www.states101.com/img/flags/gif/small/ Kentucky.gif
 Louisiana,"4,657,757",https://www.states101.com/img/flags/gif/small/ Louisiana.gif
 Maine,"1,362,359",https://www.states101.com/img/flags/gif/small/ Maine.gif
 Maryland,"6,177,224",https://www.states101.com/img/flags/gif/small/ Maryland.gif
 Massachusetts,"7,029,917",https://www.states101.com/img/flags/gif/small/ Massachusetts.gif
 Michigan,"10,077,331",https://www.states101.com/img/flags/gif/small/ Michigan.gif
 Minnesota,"5,706,494",https://www.states101.com/img/flags/gif/small/ Minnesota.gif
 Mississippi,"2,961,279",https://www.states101.com/img/flags/gif/small/ Mississippi.gif
 Missouri,"6,154,913",https://www.states101.com/img/flags/gif/small/ Missouri.gif
 Montana,"1,084,225",https://www.states101.com/img/flags/gif/small/ Montana.gif
 Nebraska,"1,961,504",https://www.states101.com/img/flags/gif/small/ Nebraska.gif
 Nevada,"3,104,614",https://www.states101.com/img/flags/gif/small/ Nevada.gif
 New Hampshire,"1,377,529",https://www.states101.com/img/flags/gif/small/ New Hampshire.gif
 New Jersey,"9,288,994",https://www.states101.com/img/flags/gif/small/ New Jersey.gif
 New Mexico,"2,117,522",https://www.states101.com/img/flags/gif/small/ New Mexico.gif
 New York,"20,201,249",https://www.states101.com/img/flags/gif/small/ New York.gif
 North Carolina,"10,439,388",https://www.states101.com/img/flags/gif/small/ North Carolina.gif
 North Dakota,"779,094",https://www.states101.com/img/flags/gif/small/ North Dakota.gif
 Northern Mariana Islands[13],"47,329",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Flag_of_the_Northern_Mariana_Islands.svg/1280px-Flag_of_the_Northern_Mariana_Islands.svg.png
 Ohio,"11,799,448",https://www.states101.com/img/flags/gif/small/ Ohio.gif
 Oklahoma,"3,959,353",https://www.states101.com/img/flags/gif/small/ Oklahoma.gif
 Oregon,"4,237,256",https://www.states101.com/img/flags/gif/small/ Oregon.gif
 Pennsylvania,"13,002,700",https://www.states101.com/img/flags/gif/small/ Pennsylvania.gif
 Puerto Rico,"3,285,874",https://cdn.britannica.com/30/5130-004-7653391E/Flag-Puerto-Rico.jpg
 Rhode Island,"1,097,379",https://www.states101.com/img/flags/gif/small/ Rhode Island.gif
 South Carolina,"5,118,425",https://www.states101.com/img/flags/gif/small/ South Carolina.gif
 South Dakota,"886,667",https://www.states101.com/img/flags/gif/small/ South Dakota.gif
 Tennessee,"6,910,840",https://www.states101.com/img/flags/gif/small/ Tennessee.gif
 Texas,"29,145,505",https://www.states101.com/img/flags/gif/small/ Texas.gif
 U.S. Virgin Islands[11],"87,146",https://cdn.britannica.com/66/69566-050-3FCBF007/Flag-US-Virgin-Islands.jpg
 Utah,"3,271,616",https://www.states101.com/img/flags/gif/small/ Utah.gif
 Vermont,"643,077",https://www.states101.com/img/flags/gif/small/ Vermont.gif
 Virginia,"8,631,393",https://www.states101.com/img/flags/gif/small/ Virginia.gif
 Washington,"7,705,281",https://www.states101.com/img/flags/gif/small/ Washington.gif
 West Virginia,"1,793,716",https://www.states101.com/img/flags/gif/small/ West Virginia.gif
 Wisconsin,"5,893,718",https://www.states101.com/img/flags/gif/small/ Wisconsin.gif
 Wyoming,"576,851",https://www.states101.com/img/flags/gif/small/ Wyoming.gif
